explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
√äReceive News & Ratings for Wyndham Destinations Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Wyndham Destinations and related companies with MarketBeat.com's FREE daily email newsletter.,0,√äReceive News & Ratings Wyndham Destinations Daily - Enter email address receive concise daily summary latest news analysts' ratings Wyndham Destinations related companies MarketBeat.com's FREE daily email newsletter.,"[1.5300636277970625e-06, 2.1431878849398345e-06, 2.7011117254005512e-06, 3.9850174289313145e-06, 0.01947576366364956, 0.04421912506222725, 1.767725007084664e-05, 3.861522418446839e-05, 0.0001297157577937469, 0.7148562073707581, 9.508258517598733e-05, 0.00019390520174056292, 0.0003970236284658313, 0.4963585436344147, 0.001245876308530569, 0.0023328945972025394, 0.003424779511988163, 0.019084107130765915, 0.00991627387702465, 0.01947576366364956, 0.04421912506222725, 0.07062378525733948, 0.12333972007036209, 0.14620348811149597, 0.22252042591571808, 0.4963585436344147, 0.7148562073707581, 1.4332976341247559]"
"But now, with people living 25+ years in retirement, some analysts argue we need some growth built into our retirement accounts, even after we hit our 60s. Otherwise, we risk both outliving our savings and missing out on stock market gains.",0,"now, people living 25+ years retirement, analysts argue need growth built retirement accounts, even hit 60s. Otherwise, risk outliving savings missing stock market gains.","[3.2229552289209096e-06, 7.394311069219839e-06, 1.1287653251201846e-05, 2.3141448764363304e-05, 3.9617789298063144e-05, 7.988407742232084e-05, 0.0002464794961269945, 0.00019527284894138575, 0.0003451333614066243, 0.0005044504650868475, 0.0013825418427586555, 0.0016784974141046405, 0.003198577556759119, 0.005746642127633095, 0.007922567427158356, 0.011345515958964825, 0.02350424975156784, 0.10245486348867416, 0.09954129904508591, 0.16456171870231628, 0.3055460453033447, 0.5169219970703125, 0.7983992695808411, 2.094695568084717]"
√äThe new fund is really a demand-driven.,0,√äThe new fund really demand-driven.,"[0.07035155594348907, 0.1862160712480545, 0.27013227343559265, 0.5612122416496277, 1.2999844551086426]"
√äWhat is the succession plan? We have a good succession plan.,0,√äWhat succession plan? good succession plan.,"[0.0699843317270279, 0.6422868967056274, 0.25393375754356384, 0.33199480175971985, 0.6422868967056274, 1.8137495517730713]"
mark scott may refer to:mark scott (singer) lead singer of the miraclesmark scott also known as shy part of the scottish rapper and songwriter duo shy & drsmark scott (radio host) (1936√¢‚Ç¨‚Äú2005) american talk show hostmark scott (actor) (1915√¢‚Ç¨‚Äú1960) tv actor and host of the tv series home run derbymark scott (businessman) (born 1962) former managing director of the australian broadcasting corporationmark scott (cricketer) (born 1959) english cricketermark scott (footballer) (born 1959) australian rules footballermark scott (police officer) australian federal police officer killed in the garuda plane crashmark scott (rower) (1923√¢‚Ç¨‚Äú2013) british rowermark scott victim of serial killers dean corll and elmer wayne henleysee also,0,mark scott may refer to:mark scott (singer) lead singer miraclesmark scott also known shy part scottish rapper songwriter duo shy & drsmark scott (radio host) (1936√¢‚Ç¨‚Äú2005) american talk show hostmark scott (actor) (1915√¢‚Ç¨‚Äú1960) tv actor host tv series home run derbymark scott (businessman) (born 1962) former managing director australian broadcasting corporationmark scott (cricketer) (born 1959) english cricketermark scott (footballer) (born 1959) australian rules footballermark scott (police officer) australian federal police officer killed garuda plane crashmark scott (rower) (1923√¢‚Ç¨‚Äú2013) british rowermark scott victim serial killers dean corll elmer wayne henleysee also,"[7.94827470454869e-23, 0.0045531331561505795, 1.3701726324961202e-22, 2.723013549142428e-22, 6.189463751752559e-22, 0.0045531331561505795, 2.1869068081543002e-21, 4.086700356602438e-21, 8.428177996426178e-21, 1.4593659972763234e-20, 0.0045531331561505795, 1.2046645879745483, 9.920286613468963e-20, 8.96153165415353e-18, 3.158561510182004e-19, 5.029473708269555e-19, 1.2201474450022163e-18, 1.332622915203808e-18, 3.9841567793922854e-18, 8.96153165415353e-18, 1.1033207979834426e-17, 2.5163621709806252e-17, 0.0045531331561505795, 7.425722781619187e-17, 1.1800937136529797e-16, 2.469065571741619e-16, 3.000585892984185e-16, 9.592984823251485e-16, 1.1012702040100338e-15, 1.8879568183327936e-15, 0.0045531331561505795, 6.406017853493023e-15, 8.524294788645522e-15, 1.4670387029746407e-13, 2.2323970065097135e-14, 4.4273765019810576e-14, 1.4670387029746407e-13, 3.6982759519729735e-13, 3.0693056061147084e-13, 4.666058121480243e-13, 1.8671717817719813e-12, 0.0045531331561505795, 2.389276710507149e-12, 1.2873728749696056e-08, 6.474760831653992e-12, 1.2138422211815936e-11, 1.6751789191915556e-11, 4.9861011153229384e-11, 7.899420211288088e-07, 1.186614695392052e-10, 1.771015972762413e-10, 0.0045531331561505795, 3.7023709098527036e-10, 1.2873728749696056e-08, 2.7288185933116438e-08, 2.9162092740619983e-09, 5.256348689641754e-09, 0.0045531331561505795, 2.2692088208486894e-08, 1.2873728749696056e-08, 2.7288185933116438e-08, 7.899420211288088e-07, 6.209092617837086e-08, 9.145389157083628e-08, 0.0045531331561505795, 3.3851284797492553e-07, 6.929895448593015e-07, 7.899420211288088e-07, 2.4109262994898017e-06, 4.969695964973653e-06, 7.04799185768934e-06, 1.2236007023602724e-05, 3.273844049545005e-05, 6.69809669489041e-05, 0.00011112152424175292, 0.0045531331561505795, 0.0002547044714447111, 0.0005848760483786464, 0.0012149927206337452, 0.0021094121038913727, 0.0045531331561505795, 0.007807448506355286, 0.01645846851170063, 0.034601788967847824, 0.07031989842653275, 0.11716674268245697, 0.2327771633863449, 0.5114152431488037, 0.495614230632782, 1.2046645879745483]"
"California-based Molina Healthcare will refund just under $3.3 million to about 126,000 Texas individual market customers Connecticut Life Insurance, offering Cigna health coverage, will issue nearly $2 million in refunds to 5,406 Texas customers, according to the CMS data. US Health and Life Insurance will refund a total of $82,527 but information on how many customers will receive the money was incomplete in the filing.",0,"California-based Molina Healthcare refund $3.3 million 126,000 Texas individual market customers Connecticut Life Insurance, offering Cigna health coverage, issue nearly $2 million refunds 5,406 Texas customers, according CMS data. US Health Life Insurance refund total $82,527 information many customers receive money incomplete filing.","[8.105684526360513e-12, 1.025470333648748e-11, 1.8255777098352688e-11, 0.009743242524564266, 7.943503493867965e-11, 1.6565458054174087e-06, 2.1012475093229455e-10, 1.0628020390868187e-05, 5.674761216489799e-10, 9.947317414216172e-10, 0.08200343698263168, 2.8302922228107263e-09, 0.0012019480345770717, 1.194485932387579e-08, 1.2724376219352962e-08, 3.378800528253123e-08, 6.127850582515748e-08, 1.1874620042817696e-07, 1.8292686831955507e-07, 4.535186235443689e-07, 6.818442557232629e-07, 1.6565458054174087e-06, 2.6172226625931216e-06, 4.5649394451174885e-06, 1.0628020390868187e-05, 1.611161496839486e-05, 3.172634751535952e-05, 6.056598431314342e-05, 0.0001416112354490906, 0.00026243735919706523, 0.0007668094476684928, 0.0012019480345770717, 0.0028995610773563385, 0.009743242524564266, 0.007408864796161652, 0.019443705677986145, 0.049120377749204636, 0.07180646806955338, 0.08200343698263168, 0.15371528267860413, 0.5227875709533691, 0.7665700912475586, 1.3931753635406494]"
None of the patients has clinical or radiologic findings suggestive of central pontine myelinolysis or akinetic mutism.,0,None patients clinical radiologic findings suggestive central pontine myelinolysis akinetic mutism.,"[0.004642078187316656, 0.005567475222051144, 0.009694862179458141, 0.01886788383126259, 0.024365929886698723, 0.05323893204331398, 0.06818365305662155, 0.1461556851863861, 0.32710468769073486, 0.7902746200561523, 1.3618526458740234]"
"√äHe also said steel production has dropped nationally, reducing demand for metallurgical coal.",0,"√äHe also said steel production dropped nationally, reducing demand metallurgical coal.","[0.003136720508337021, 0.007426738739013672, 0.015058623626828194, 0.01300422940403223, 0.027710188180208206, 0.02963840588927269, 0.07269694656133652, 0.14818577468395233, 0.2540796995162964, 0.44766196608543396, 1.45598566532135]"
"The flavor enhancer can cause nausea and headaches, but also sweating, facial tightness and a burning sensation in your face.",0,"flavor enhancer cause nausea headaches, also sweating, facial tightness burning sensation face.","[0.002127051819115877, 0.002470563631504774, 0.012387741357088089, 0.0087125888094306, 0.012902641668915749, 0.018275931477546692, 0.04131652042269707, 0.07805885374546051, 0.17999422550201416, 0.336255818605423, 0.5907343029975891, 1.6327308416366577]"
"√äDelegates experience a number of phases in the project's life-cycle: a pre-bid phase, the bid phase, detailed design phase and prototyping and manufacturing/construction phase. The simulation rewards left shift thinking√ä -√ä the more robust the design, the more robust the process/product delivered to the customer. Delegates are encouraged to spend sufficient time in design to mitigate quality issues that would otherwise occur downstream in their business.",0,"√äDelegates experience number phases project's life-cycle: pre-bid phase, bid phase, detailed design phase prototyping manufacturing/construction phase. simulation rewards left shift thinking√ä -√ä robust design, robust process/product delivered customer. Delegates encouraged spend sufficient time design mitigate quality issues would otherwise occur downstream business.","[4.856204882663917e-10, 9.515617183097902e-10, 1.1576795078127589e-09, 1.8423252923227551e-09, 2.8551774278184894e-09, 5.36544497720115e-09, 1.999721277456956e-08, 4.158964372891205e-08, 1.909021918322651e-08, 4.158964372891205e-08, 1.4795386960031465e-07, 0.01547511201351881, 9.694294789142077e-08, 1.9192964373360155e-07, 3.3472821314717294e-07, 5.661789828081965e-07, 8.809875566839764e-07, 1.3886369742976967e-06, 3.6374051433085697e-06, 6.398287041520234e-06, 1.3427920748654287e-05, 2.9525883292080835e-05, 0.0001542973768664524, 8.019659435376525e-05, 0.0001542973768664524, 0.00016086974937934428, 0.0002733197470661253, 0.0004813397827092558, 0.0009452499216422439, 0.002148059895262122, 0.0038125428836792707, 0.0054731848649680614, 0.010829796083271503, 0.01547511201351881, 0.022253528237342834, 0.039131492376327515, 0.071542888879776, 0.1468554586172104, 0.1807408183813095, 0.4029007852077484, 0.6926484107971191, 1.220815658569336]"
"49,960 deaths will occur from CRC, constituting about 9% of all 2008 cancer deaths1.",0,"49,960 deaths occur CRC, constituting 9% 2008 cancer deaths1.","[0.021650440990924835, 0.029945293441414833, 0.04998685419559479, 0.06635032594203949, 0.12703515589237213, 0.21899059414863586, 0.3320719003677368, 0.7494303584098816, 1.6227442026138306]"
currency checks as well as regular medical check-ups with a frequency of 6 months 12 months or 36 months depending on the type of flying permitted are obligatory,0,currency checks well regular medical check-ups frequency 6 months 12 months 36 months depending type flying permitted obligatory,"[5.036072252551094e-05, 6.498998845927417e-05, 0.0001827827509259805, 0.0003384677111171186, 0.0007422490161843598, 0.001222296617925167, 0.00206788070499897, 0.00246912008151412, 0.06778378784656525, 0.009823891334235668, 0.06778378784656525, 0.028126249089837074, 0.06778378784656525, 0.0730178952217102, 0.21395640075206757, 0.2169378101825714, 0.5109071135520935, 1.2319756746292114]"
"Often, the eerily precise language captures a sense of fear and wonder often associated with childhood-memories ÔøΩ or nightmares: The girl in Possum describes life in her foster family, the gruesome tales about her predecessor and false tokens of beauty such as left-over make-up and a ballerina with painted-on shoes.",0,"Often, eerily precise language captures sense fear wonder often associated childhood-memories ÔøΩ nightmares: girl Possum describes life foster family, gruesome tales predecessor false tokens beauty left-over make-up ballerina painted-on shoes.","[1.8812296787018568e-07, 3.904016807609878e-07, 7.56315444050415e-07, 1.8089149307343177e-06, 2.046995405180496e-06, 2.9253187676658854e-06, 4.367922883830033e-06, 9.499502994003706e-06, 1.3106850929034408e-05, 4.728016574517824e-05, 4.147287108935416e-05, 0.0001098856664611958, 0.00010188314627157524, 0.0001474738382967189, 0.00021325262787286192, 0.00048323930241167545, 0.0011972957290709019, 0.0022742762230336666, 0.0025579880457371473, 0.005345129407942295, 0.009345165453851223, 0.011627359315752983, 0.017870604991912842, 0.035951338708400726, 0.08854731917381287, 0.13679388165473938, 0.29724156856536865, 0.5324147343635559, 0.8330672383308411, 1.4093263149261475]"
"Eleven surviving patients were also studied by analysis of serum aminoterminal propeptide of type III procollagen (PIIINP), which is an indicator of fibrogenesis, which is especially suitable for follow-up of fibrotic liver disease.",0,"Eleven surviving patients also studied analysis serum aminoterminal propeptide type III procollagen (PIIINP), indicator fibrogenesis, especially suitable follow-up fibrotic liver disease.","[2.2386224372894503e-05, 4.204590732115321e-05, 6.559940084116533e-05, 7.311080116778612e-05, 0.00022068126418162137, 0.00021282625675667077, 0.00036930208443664014, 0.0005498627433553338, 0.000952475646045059, 0.0020928061567246914, 0.004423035774379969, 0.006861145608127117, 0.01471602451056242, 0.016691934317350388, 0.037595875561237335, 0.10661142319440842, 0.10953792929649353, 0.14925029873847961, 0.2997054159641266, 0.5345219373703003, 1.182646632194519]"
√äThe Q.i.,0,√äThe Q.i.,"[0.9712016582489014, 1.7995065450668335]"
"During hospitalization, he was treated with regular insulin and 300 mg/day of acarbose.",0,"hospitalization, treated regular insulin 300 mg/day acarbose.","[0.02287358231842518, 0.03582010790705681, 0.05485513433814049, 0.14887802302837372, 0.37994664907455444, 0.6064513921737671, 1.632967472076416]"
the united workers' party may refer to:polish united workers' partyunited workers' party (dominica)united workers party (guyana)united workers party (israel) commonly known as mapamunited workers party (saint lucia)united workers party (united states)category:political party disambiguation pages,0,united workers' party may refer to:polish united workers' partyunited workers' party (dominica)united workers party (guyana)united workers party (israel) commonly known mapamunited workers party (saint lucia)united workers party (united states)category:political party disambiguation pages,"[6.130771907919552e-06, 2.938317811640445e-05, 0.44156986474990845, 7.105739996404736e-07, 1.5177496379692457e-06, 3.433963684074115e-06, 6.130771907919552e-06, 2.938317811640445e-05, 1.9236511434428394e-05, 2.938317811640445e-05, 0.44156986474990845, 4.380154859973118e-05, 0.042783357203006744, 0.44156986474990845, 0.00017857446800917387, 0.042783357203006744, 0.44156986474990845, 0.0005179077270440757, 0.0007058244664222002, 0.0015174747677519917, 0.0052164094522595406, 0.042783357203006744, 0.44156986474990845, 0.014677024446427822, 0.03314982354640961, 0.042783357203006744, 0.44156986474990845, 0.13483873009681702, 0.21926049888134003, 0.44156986474990845, 0.7673608064651489, 1.4929442405700684]"
√äReceive News & Ratings Via Email - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings with MarketBeat.com's FREE daily email newsletter.,0,√äReceive News & Ratings Via Email - Enter email address receive concise daily summary latest news analysts' ratings MarketBeat.com's FREE daily email newsletter.,"[1.60757772391662e-05, 1.4056969121156726e-05, 1.804820931283757e-05, 2.940882768598385e-05, 4.463325967662968e-05, 0.0001108884098357521, 0.00016650183533784002, 0.0005049166502431035, 0.7152591943740845, 0.0005400391528382897, 0.0013375960988923907, 0.0024203299544751644, 0.5142936110496521, 0.01108679547905922, 0.011173764243721962, 0.017190760001540184, 0.06934870779514313, 0.06599216163158417, 0.14150433242321014, 0.2172175645828247, 0.5142936110496521, 0.7152591943740845, 1.4298877716064453]"
Courts often have difficulty determining whether harm resulted from a failure to act or from an act that was improperly performed.,0,Courts often difficulty determining whether harm resulted failure act act improperly performed.,"[0.001775725744664669, 0.0036900050472468138, 0.006963629275560379, 0.013626141473650932, 0.0175975039601326, 0.050531137734651566, 0.08045642822980881, 0.15004611015319824, 0.7031319737434387, 0.7031319737434387, 0.9503360390663147, 1.1658936738967896]"
artachaea is a genus of sea slugs a dorid nudibranch a shell-less marine gastropod mollusc in the family dorididae,0,artachaea genus sea slugs dorid nudibranch shell-less marine gastropod mollusc family dorididae,"[0.0012827327009290457, 0.0020400285720825195, 0.0034186351113021374, 0.006185349076986313, 0.013441449031233788, 0.02313895896077156, 0.046135976910591125, 0.09317396581172943, 0.15476614236831665, 0.3560541570186615, 0.5870351791381836, 1.2241545915603638]"
"Most girls end up having unprotected sex leading to unwanted pregnancies, this causes them to drop out of school and their parents end up chasing them away from school.",0,"girls end unprotected sex leading unwanted pregnancies, causes drop school parents end chasing away school.","[0.00013990640582051128, 0.18460488319396973, 0.0005937518435530365, 0.0011371985310688615, 0.0010896166786551476, 0.003031613305211067, 0.008043108507990837, 0.013392660766839981, 0.023427030071616173, 0.03178556263446808, 0.08130013942718506, 0.18460488319396973, 0.3417801260948181, 0.6726271510124207, 1.5032892227172852]"
"However, once again the TTM period is perking back up and sits at $4.6 B.√ä Image by author data source: Lockheed Martin SEC filings√ä Since operating and free cash flow have both compressed, it should come as no surprise that Lockheed's cash flow margins have been under pressure. I generally want to see free cash flow margins above 10% as a sign of a strong cash generating business.",0,"However, TTM period perking back sits $4.6 B.√ä Image author data source: Lockheed Martin SEC filings√ä Since operating free cash flow compressed, come surprise Lockheed's cash flow margins pressure. generally want see free cash flow margins 10% sign strong cash generating business.","[4.658973207227746e-10, 8.752808478007523e-10, 1.409067529323238e-09, 3.2653848514030415e-09, 8.159235065363646e-09, 1.637507551777162e-08, 2.4553122202064515e-08, 2.1934917882049376e-08, 5.954511905770232e-08, 7.728633022452414e-08, 1.7127625540069857e-07, 5.205023398957564e-07, 4.873357966062031e-07, 8.948507002060069e-07, 1.391237447023741e-06, 3.209536089343601e-06, 4.243478542775847e-06, 1.0258252586936578e-05, 0.012815067544579506, 0.4868943393230438, 0.040917426347732544, 7.351383828790858e-05, 0.00010834999557118863, 0.00011976443056482822, 0.000406941951951012, 0.4868943393230438, 0.040917426347732544, 0.08684635162353516, 0.001304982346482575, 0.0028149846475571394, 0.005801028572022915, 0.011772352270781994, 0.012815067544579506, 0.4868943393230438, 0.040917426347732544, 0.08684635162353516, 0.16797220706939697, 0.18819597363471985, 0.2913631796836853, 0.4868943393230438, 0.9606567621231079, 1.3132011890411377]"
CMV gastritis has been reported in transplant recipients.,0,CMV gastritis reported transplant recipients.,"[0.11377013474702835, 0.35466039180755615, 0.516323447227478, 0.8816885352134705, 2.298161745071411]"
"It attributed these values to the active presence of God through his Word, pointing also to the universal action of the Spirit: ""Without doubt,"" Ad Gentes affirms, ""the Holy Spirit was at work in the world before Christ was glorified"" (No.",0,"attributed values active presence God Word, pointing also universal action Spirit: ""Without doubt,"" Ad Gentes affirms, ""the Holy Spirit work world Christ glorified"" (No.","[1.3617958529721363e-06, 1.9807700937235495e-06, 4.35627634942648e-06, 9.45930241869064e-06, 1.5740557500976138e-05, 2.1605716028716415e-05, 3.2358286262024194e-05, 4.978276410838589e-05, 8.620289008831605e-05, 0.00026001071091741323, 0.00046109053073450923, 0.0009148018434643745, 0.0027837594971060753, 0.003667212789878249, 0.005687235854566097, 0.014623718336224556, 0.02199038304388523, 0.03199506178498268, 0.06128176674246788, 0.152470201253891, 0.46498173475265503, 0.4913082718849182, 1.1098798513412476, 1.540567398071289]"
We describe a patient in whom noncardiogenic pulmonary edema developed during intrabiliary infusion of monooctanoin.,0,describe patient noncardiogenic pulmonary edema developed intrabiliary infusion monooctanoin.,"[0.007289829198271036, 0.012767932377755642, 0.03160946071147919, 0.08827535063028336, 0.13215629756450653, 0.16577179729938507, 0.5292816162109375, 0.7511006593704224, 1.6345622539520264]"
biographyhe won the bronze medal at the 1997 mediterranean games and the gold medal at the 2001 mediterranean games,0,biographyhe bronze medal 1997 mediterranean games gold medal 2001 mediterranean games,"[0.0033929203636944294, 0.0051690335385501385, 0.2296706736087799, 0.02227090485394001, 0.6143071055412292, 1.597710132598877, 0.08012466132640839, 0.2296706736087799, 0.3683024048805237, 0.6143071055412292, 1.597710132598877]"
"sour cream√¢‚Ç¨¬ù√¢‚Ç¨≈ìgoyim friends√¢‚Ç¨¬ù√¢‚Ç¨≈ìat the timeshare√¢‚Ç¨¬ù√¢‚Ç¨≈ìhow do you spell channukkahh?√¢‚Ç¨¬ù√¢‚Ç¨≈ìkugel√¢‚Ç¨¬ù√¢‚Ç¨≈ìjewish girls (at the matzoh ball)√¢‚Ç¨¬ù√¢‚Ç¨≈ìgelt melts√¢‚Ç¨¬ù√¢‚Ç¨≈ìnun gimmel heh shin√¢‚Ç¨¬ù(hidden track)√¢‚Ç¨≈ìholiday√¢‚Ç¨¬ùreferencesexternal links""applesauce vs",0,"sour cream√¢‚Ç¨¬ù√¢‚Ç¨≈ìgoyim friends√¢‚Ç¨¬ù√¢‚Ç¨≈ìat timeshare√¢‚Ç¨¬ù√¢‚Ç¨≈ìhow spell channukkahh?√¢‚Ç¨¬ù√¢‚Ç¨≈ìkugel√¢‚Ç¨¬ù√¢‚Ç¨≈ìjewish girls (at matzoh ball)√¢‚Ç¨¬ù√¢‚Ç¨≈ìgelt melts√¢‚Ç¨¬ù√¢‚Ç¨≈ìnun gimmel heh shin√¢‚Ç¨¬ù(hidden track)√¢‚Ç¨≈ìholiday√¢‚Ç¨¬ùreferencesexternal links""applesauce vs","[0.00026051915483549237, 0.0003942220355384052, 0.0007081174408085644, 0.0015179803594946861, 0.0042005847208201885, 0.002527448581531644, 0.009990929625928402, 0.013967889361083508, 0.017115958034992218, 0.040487878024578094, 0.041441407054662704, 0.0487128421664238, 0.13701754808425903, 0.26450058817863464, 0.32969173789024353, 0.8159764409065247, 1.5153050422668457]"
Perforated appendicitis was a coincidental event following IVF and embryo transfer.,0,Perforated appendicitis coincidental event following IVF embryo transfer.,"[0.028578609228134155, 0.045262113213539124, 0.06727654486894608, 0.13595221936702728, 0.2211982160806656, 0.44674918055534363, 0.7617671489715576, 1.3997249603271484]"
"APOLT restored the plasma FH level, without HUS recurrence, for 7 months.",0,"APOLT restored plasma FH level, without HUS recurrence, 7 months.","[0.007020217832177877, 0.016667325049638748, 0.04366547241806984, 0.06881888955831528, 0.08004669100046158, 0.16049180924892426, 0.24200382828712463, 0.4176461100578308, 1.0511431694030762, 1.7548881769180298]"
√äThe user must deposit these taxes with the IRS according to the depositing schedule.,0,√äThe user must deposit taxes IRS according depositing schedule.,"[0.010630336590111256, 0.01832297444343567, 0.022270716726779938, 0.048497073352336884, 0.12427002191543579, 0.18372659385204315, 0.31046539545059204, 0.4974604845046997, 1.266142725944519]"
"- - Gross Revenue - Price/Sales Ratio - Net Income - Earnings Per Share - Price/Earnings Ratio√ä - J.Jill - $706.26 million - 0.12 - $30.52 million - $0.72 - 2.67√ä - Apex Global Brands - $24.44 million - 0.36 - -$12.33 million - N/A - N/A√ä J.Jill has higher revenue and earnings than Apex Global Brands. Analyst Recommendations√ä This is a breakdown of current recommendations for J.Jill and Apex Global Brands, as reported by MarketBeat.",0,"- - Gross Revenue - Price/Sales Ratio - Net Income - Earnings Per Share - Price/Earnings Ratio√ä - J.Jill - $706.26 million - 0.12 - $30.52 million - $0.72 - 2.67√ä - Apex Global Brands - $24.44 million - 0.36 - -$12.33 million - N/A - N/A√ä J.Jill higher revenue earnings Apex Global Brands. Analyst Recommendations√ä breakdown current recommendations J.Jill Apex Global Brands, reported MarketBeat.","[3.129071410512552e-05, 3.129071410512552e-05, 2.671266799338795e-13, 8.170318263091281e-13, 3.129071410512552e-05, 8.133919969857684e-13, 8.57228350803485e-13, 3.129071410512552e-05, 3.088915408178128e-12, 3.1998778626807223e-12, 3.129071410512552e-05, 9.267461797968224e-12, 5.60635479013305e-12, 1.1811360049740482e-11, 3.129071410512552e-05, 2.264122569983762e-11, 5.177030332204069e-11, 3.129071410512552e-05, 0.06809785962104797, 3.129071410512552e-05, 1.9475651646949643e-10, 4.720683136838488e-06, 3.129071410512552e-05, 8.526862549373959e-10, 3.129071410512552e-05, 1.0151428586624434e-09, 4.720683136838488e-06, 3.129071410512552e-05, 5.151408188908135e-09, 3.129071410512552e-05, 1.2200058741029807e-08, 3.129071410512552e-05, 0.11491672694683075, 0.19739066064357758, 9.312268645089716e-08, 3.129071410512552e-05, 4.7502376787633693e-07, 4.720683136838488e-06, 3.129071410512552e-05, 9.025093277159613e-07, 3.129071410512552e-05, 2.7561327442526817e-06, 4.720683136838488e-06, 3.129071410512552e-05, 1.5904593965387903e-05, 3.129071410512552e-05, 3.371688217157498e-05, 0.06809785962104797, 0.00010703106090659276, 0.0003598635958041996, 0.00042992987437173724, 0.11491672694683075, 0.19739066064357758, 0.001463586464524269, 0.003145280759781599, 0.004569936543703079, 0.015494783408939838, 0.022415997460484505, 0.042706407606601715, 0.06809785962104797, 0.11491672694683075, 0.19739066064357758, 0.3365854322910309, 0.873937726020813, 1.5389208793640137]"
"$7,000√ä Maximum contribution for couples this year in a health savings account.",0,"$7,000√ä Maximum contribution couples year health savings account.","[0.04695160314440727, 0.06876367330551147, 0.09713393449783325, 0.14508213102817535, 0.3855718970298767, 0.5871796011924744, 0.9831564426422119, 1.46407151222229]"
ultimately despite much speculation the truth behind doom 2099's identity was finally definitively established as being the true albeit alternate future version of earth 616 victor von doom on the final page of doom 2099 issue #25,0,ultimately despite much speculation truth behind doom 2099's identity finally definitively established true albeit alternate future version earth 616 victor von doom final page doom 2099 issue #25,"[4.977177923137788e-07, 1.482614834458218e-06, 1.7817907291828305e-06, 2.5878498490783386e-06, 5.818722456751857e-06, 1.1077954695792869e-05, 0.164139062166214, 2.7065401809522882e-05, 4.134672417421825e-05, 7.578374788863584e-05, 0.00020023240358568728, 0.000228210017667152, 0.0002424871490802616, 0.0004703314625658095, 0.0009283815743401647, 0.0028053130954504013, 0.0029109991155564785, 0.00502293836325407, 0.01166441384702921, 0.00990291591733694, 0.028378259390592575, 0.164139062166214, 0.051373373717069626, 0.11325882375240326, 0.164139062166214, 0.28079143166542053, 0.7170221209526062, 1.9273886680603027]"
"Our experience supports its efficacy in this setting, and to the best of our knowledge this is the first report of successful treatment of cutaneous warts with IV Cidofovir in a pediatric case.",0,"experience supports efficacy setting, best knowledge first report successful treatment cutaneous warts IV Cidofovir pediatric case.","[0.0002862043911591172, 0.0004820685717277229, 0.0011337768519297242, 0.0012936011189594865, 0.0032721858005970716, 0.005259300582110882, 0.010609742254018784, 0.018512511625885963, 0.05895288288593292, 0.037832409143447876, 0.13560865819454193, 0.11173219978809357, 0.18550272285938263, 0.5573183298110962, 0.6432996392250061, 1.3357208967208862]"
We report a case of a male infertility patient with asthenozoospermia during long-term treatment with anti-epileptic drugs.,0,report case male infertility patient asthenozoospermia long-term treatment anti-epileptic drugs.,"[0.0226326584815979, 0.03416077047586441, 0.042578984051942825, 0.09713531285524368, 0.11487235873937607, 0.16740335524082184, 0.5985711216926575, 0.4636635482311249, 1.2014280557632446, 1.873947024345398]"
"Chinese conglomerate Fosun International were the biggest single shareholder, owning 18 per cent of the travel operator that went bust on Monday.",0,"Chinese conglomerate Fosun International biggest single shareholder, owning 18 per cent travel operator went bust Monday.","[0.0002352285519009456, 0.00042653398122638464, 0.0007407654775306582, 0.0016637943917885423, 0.001554054208099842, 0.003522597486153245, 0.007096045184880495, 0.017523357644677162, 0.014246071688830853, 0.03902127966284752, 0.07925348728895187, 0.13536544144153595, 0.24240624904632568, 0.37558645009994507, 0.7911816239356995, 1.6656183004379272]"
